Iter 524/610 took 3.15 seconds
Iter 525/610 took 3.14 seconds
Iter 526/610 took 3.13 seconds
Iter 527/610 took 3.09 seconds
Iter 528/610 took 3.05 seconds
Iter 529/610 took 3.09 seconds
Iter 530/610 took 3.00 seconds
Iter 531/610 took 2.99 seconds
Iter 532/610 took 3.01 seconds
Iter 533/610 took 3.08 seconds
Iter 534/610 took 3.09 seconds
Iter 535/610 took 3.12 seconds
Iter 536/610 took 3.11 seconds
Iter 537/610 took 3.10 seconds
Iter 538/610 took 3.18 seconds
Iter 539/610 took 3.16 seconds
Iter 540/610 took 3.02 seconds
Iter 541/610 took 3.02 seconds
Iter 542/610 took 3.11 seconds
Iter 543/610 took 3.04 seconds
Iter 544/610 took 3.04 seconds
Iter 545/610 took 3.05 seconds
