checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m_step_010000000.ckpt at global_step=10027008
Iter 307/915 took 2.74 seconds
Iter 308/915 took 2.63 seconds
Iter 309/915 took 2.67 seconds
Iter 310/915 took 2.64 seconds
Iter 311/915 took 2.62 seconds
Iter 312/915 took 2.63 seconds
Iter 313/915 took 2.67 seconds
Iter 314/915 took 2.68 seconds
Iter 315/915 took 2.69 seconds
Iter 316/915 took 2.61 seconds
Iter 317/915 took 2.65 seconds
Iter 318/915 took 2.65 seconds
Iter 319/915 took 2.63 seconds
Iter 320/915 took 2.63 seconds
Iter 321/915 took 2.62 seconds
Iter 322/915 took 2.66 seconds
Iter 323/915 took 2.67 seconds
Iter 324/915 took 2.67 seconds
Iter 325/915 took 2.69 seconds
Iter 326/915 took 2.70 seconds
Iter 327/915 took 2.63 seconds
Iter 328/915 took 2.64 seconds
Iter 329/915 took 2.71 seconds
Iter 330/915 took 2.68 seconds
Iter 331/915 took 2.71 seconds
Iter 332/915 took 2.71 seconds
Iter 333/915 took 2.70 seconds
Iter 334/915 took 2.63 seconds
Iter 335/915 took 2.66 seconds
Iter 336/915 took 2.64 seconds
Iter 337/915 took 2.65 seconds
Iter 338/915 took 2.66 seconds
Iter 339/915 took 2.67 seconds
Iter 340/915 took 2.65 seconds
Iter 341/915 took 2.69 seconds
Iter 342/915 took 2.67 seconds
Iter 343/915 took 2.68 seconds
Iter 344/915 took 2.66 seconds
Iter 345/915 took 2.67 seconds
Iter 346/915 took 2.71 seconds
Iter 347/915 took 2.66 seconds
Iter 348/915 took 2.63 seconds
Iter 349/915 took 2.64 seconds
Iter 350/915 took 2.61 seconds
Iter 351/915 took 2.62 seconds
Iter 352/915 took 2.65 seconds
Iter 353/915 took 2.79 seconds
Iter 354/915 took 2.74 seconds
Iter 355/915 took 2.65 seconds
Iter 356/915 took 2.75 seconds
Iter 357/915 took 2.77 seconds
Iter 358/915 took 2.74 seconds
Iter 359/915 took 2.68 seconds
