Iter 345/2441 took 2.35 seconds
Iter 346/2441 took 2.40 seconds
Iter 347/2441 took 2.44 seconds
Iter 348/2441 took 2.35 seconds
Iter 349/2441 took 2.41 seconds
Iter 350/2441 took 2.42 seconds
Iter 351/2441 took 2.40 seconds
Iter 352/2441 took 2.32 seconds
Iter 353/2441 took 2.35 seconds
Iter 354/2441 took 2.37 seconds
Iter 355/2441 took 2.41 seconds
Iter 356/2441 took 2.44 seconds
Iter 357/2441 took 2.30 seconds
Iter 358/2441 took 2.38 seconds
Iter 359/2441 took 2.33 seconds
Iter 360/2441 took 2.46 seconds
Iter 361/2441 took 2.40 seconds
Iter 362/2441 took 2.37 seconds
Iter 363/2441 took 2.36 seconds
Iter 364/2441 took 2.32 seconds
Iter 365/2441 took 2.32 seconds
Iter 366/2441 took 2.37 seconds
Iter 367/2441 took 2.41 seconds
Iter 368/2441 took 2.41 seconds
Iter 369/2441 took 2.43 seconds
Iter 370/2441 took 2.49 seconds
Iter 371/2441 took 2.38 seconds
Iter 372/2441 took 2.39 seconds
Iter 373/2441 took 2.40 seconds
Iter 374/2441 took 2.37 seconds
Iter 375/2441 took 2.36 seconds
Iter 376/2441 took 2.35 seconds
Iter 377/2441 took 2.36 seconds
Iter 378/2441 took 2.35 seconds
Iter 379/2441 took 2.38 seconds
Iter 380/2441 took 2.31 seconds
Iter 381/2441 took 2.35 seconds
Iter 382/2441 took 2.41 seconds
Iter 383/2441 took 2.38 seconds
Iter 384/2441 took 2.28 seconds
Iter 385/2441 took 2.32 seconds
Iter 386/2441 took 2.36 seconds
Iter 387/2441 took 2.37 seconds
Iter 388/2441 took 2.41 seconds
Iter 389/2441 took 2.36 seconds
Iter 390/2441 took 2.39 seconds
Iter 391/2441 took 2.46 seconds
Iter 392/2441 took 2.31 seconds
Iter 393/2441 took 2.33 seconds
Iter 394/2441 took 2.36 seconds
Iter 395/2441 took 2.30 seconds
Iter 396/2441 took 2.32 seconds
Iter 397/2441 took 2.39 seconds
Iter 398/2441 took 2.39 seconds
Iter 399/2441 took 2.35 seconds
Iter 400/2441 took 2.32 seconds
Iter 401/2441 took 2.35 seconds
Iter 402/2441 took 2.34 seconds
