Iter 378/1525 took 2.76 seconds
Iter 379/1525 took 2.75 seconds
Iter 380/1525 took 2.77 seconds
Iter 381/1525 took 2.68 seconds
Iter 382/1525 took 2.75 seconds
Iter 383/1525 took 2.77 seconds
Iter 384/1525 took 2.77 seconds
Iter 385/1525 took 2.81 seconds
Iter 386/1525 took 2.81 seconds
Iter 387/1525 took 2.71 seconds
Iter 388/1525 took 2.71 seconds
Iter 389/1525 took 2.73 seconds
Iter 390/1525 took 2.73 seconds
Iter 391/1525 took 2.73 seconds
Iter 392/1525 took 2.70 seconds
Iter 393/1525 took 2.72 seconds
Iter 394/1525 took 2.77 seconds
Iter 395/1525 took 2.73 seconds
Iter 396/1525 took 2.90 seconds
Iter 397/1525 took 2.96 seconds
Iter 398/1525 took 2.96 seconds
Iter 399/1525 took 2.99 seconds
Iter 400/1525 took 2.90 seconds
Iter 401/1525 took 2.76 seconds
Iter 402/1525 took 2.84 seconds
Iter 403/1525 took 2.91 seconds
Iter 404/1525 took 2.90 seconds
Iter 405/1525 took 2.84 seconds
Iter 406/1525 took 2.88 seconds
Iter 407/1525 took 2.98 seconds
Iter 408/1525 took 3.05 seconds
Iter 409/1525 took 2.96 seconds
Iter 410/1525 took 2.99 seconds
Iter 411/1525 took 2.96 seconds
Iter 412/1525 took 2.96 seconds
Iter 413/1525 took 2.92 seconds
Iter 414/1525 took 2.93 seconds
Iter 415/1525 took 2.72 seconds
Iter 416/1525 took 2.78 seconds
Iter 417/1525 took 2.73 seconds
Iter 418/1525 took 2.76 seconds
Iter 419/1525 took 2.78 seconds
Iter 420/1525 took 2.76 seconds
Iter 421/1525 took 2.82 seconds
Iter 422/1525 took 2.82 seconds
Iter 423/1525 took 2.82 seconds
Iter 424/1525 took 2.85 seconds
Iter 425/1525 took 2.83 seconds
Iter 426/1525 took 2.80 seconds
Iter 427/1525 took 2.77 seconds
Iter 428/1525 took 2.91 seconds
Iter 429/1525 took 2.74 seconds
Iter 430/1525 took 2.78 seconds
Iter 431/1525 took 2.83 seconds
Iter 432/1525 took 2.79 seconds
Iter 433/1525 took 2.84 seconds
Iter 434/1525 took 2.78 seconds
Iter 435/1525 took 2.81 seconds
Iter 436/1525 took 2.89 seconds
Iter 437/1525 took 2.78 seconds
Iter 438/1525 took 2.77 seconds
Iter 439/1525 took 2.86 seconds
Iter 440/1525 took 2.88 seconds
Iter 441/1525 took 2.82 seconds
Iter 442/1525 took 2.73 seconds
Iter 443/1525 took 2.66 seconds
Iter 444/1525 took 2.81 seconds
Iter 445/1525 took 2.77 seconds
Iter 446/1525 took 2.76 seconds
Iter 447/1525 took 2.85 seconds
Iter 448/1525 took 2.83 seconds
Iter 449/1525 took 2.77 seconds
Iter 450/1525 took 2.81 seconds
Iter 451/1525 took 2.79 seconds
Iter 452/1525 took 2.87 seconds
Iter 453/1525 took 2.71 seconds
Iter 454/1525 took 2.71 seconds
Iter 455/1525 took 2.86 seconds
Iter 456/1525 took 2.93 seconds
Iter 457/1525 took 2.96 seconds
Iter 458/1525 took 2.93 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m/level3_loop_068_structural_v15_sensor15_curriculum_maturation_from_loop067_10m_to_60m_step_015000000.ckpt at global_step=15007744
Iter 459/1525 took 2.97 seconds
Iter 460/1525 took 2.89 seconds
Iter 461/1525 took 2.97 seconds
Iter 462/1525 took 2.88 seconds
Iter 463/1525 took 2.83 seconds
Iter 464/1525 took 2.78 seconds
Iter 465/1525 took 2.80 seconds
Iter 466/1525 took 2.93 seconds
Iter 467/1525 took 2.84 seconds
Iter 468/1525 took 2.93 seconds
Iter 469/1525 took 2.92 seconds
Iter 470/1525 took 2.87 seconds
Iter 471/1525 took 2.93 seconds
Iter 472/1525 took 2.83 seconds
Iter 473/1525 took 2.78 seconds
Iter 474/1525 took 2.75 seconds
Iter 475/1525 took 2.88 seconds
Iter 476/1525 took 2.83 seconds
Iter 477/1525 took 2.75 seconds
Iter 478/1525 took 2.74 seconds
Iter 479/1525 took 2.85 seconds
Iter 480/1525 took 2.84 seconds
Iter 481/1525 took 2.81 seconds
Iter 482/1525 took 2.76 seconds
Iter 483/1525 took 2.73 seconds
Iter 484/1525 took 2.77 seconds
Iter 485/1525 took 2.75 seconds
Iter 486/1525 took 2.82 seconds
Iter 487/1525 took 2.91 seconds
Iter 488/1525 took 3.08 seconds
Iter 489/1525 took 3.02 seconds
Iter 490/1525 took 3.02 seconds
Iter 491/1525 took 2.95 seconds
Iter 492/1525 took 2.93 seconds
Iter 493/1525 took 2.88 seconds
Iter 494/1525 took 2.83 seconds
Iter 495/1525 took 2.79 seconds
Iter 496/1525 took 2.80 seconds
Iter 497/1525 took 2.79 seconds
Iter 498/1525 took 2.82 seconds
Iter 499/1525 took 2.90 seconds
Iter 500/1525 took 2.81 seconds
Iter 501/1525 took 2.72 seconds
Iter 502/1525 took 2.93 seconds
Iter 503/1525 took 2.93 seconds
