Iter 453/610 took 2.80 seconds
Iter 454/610 took 2.81 seconds
Iter 455/610 took 2.85 seconds
Iter 456/610 took 2.79 seconds
Iter 457/610 took 2.84 seconds
Iter 458/610 took 2.84 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m/level3_loop_056_v5_loop052_remote_nominal_soft_centerline_light_plane_20m_step_015000000.ckpt at global_step=15007744
Iter 459/610 took 2.81 seconds
Iter 460/610 took 2.98 seconds
Iter 461/610 took 2.88 seconds
Iter 462/610 took 2.81 seconds
Iter 463/610 took 2.79 seconds
Iter 464/610 took 2.93 seconds
Iter 465/610 took 2.81 seconds
Iter 466/610 took 2.71 seconds
Iter 467/610 took 2.75 seconds
Iter 468/610 took 2.79 seconds
Iter 469/610 took 2.78 seconds
Iter 470/610 took 2.90 seconds
Iter 471/610 took 2.88 seconds
Iter 472/610 took 2.78 seconds
Iter 473/610 took 2.78 seconds
Iter 474/610 took 2.85 seconds
Iter 475/610 took 2.74 seconds
Iter 476/610 took 2.87 seconds
Iter 477/610 took 2.76 seconds
Iter 478/610 took 2.80 seconds
Iter 479/610 took 2.86 seconds
Iter 480/610 took 2.85 seconds
Iter 481/610 took 2.80 seconds
Iter 482/610 took 2.80 seconds
Iter 483/610 took 2.73 seconds
Iter 484/610 took 2.76 seconds
Iter 485/610 took 2.73 seconds
Iter 486/610 took 2.75 seconds
Iter 487/610 took 2.76 seconds
Iter 488/610 took 2.75 seconds
Iter 489/610 took 2.76 seconds
Iter 490/610 took 2.77 seconds
Iter 491/610 took 2.75 seconds
Iter 492/610 took 2.75 seconds
Iter 493/610 took 2.74 seconds
Iter 494/610 took 2.85 seconds
Iter 495/610 took 2.92 seconds
Iter 496/610 took 2.94 secondswandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 19478-19500, summary, console lines 616-618
wandb: 
wandb: Run history:
wandb:                charts/SPS ▁▁▁▁▂▂▂▂▂▂▃▃▄▄▄▄▅▅▅▅▅▅▅▅▅▆▆▆▇▇▆▇▇▇██▇█▇█
wandb:      charts/learning_rate ██▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅▅▄▄▄▄▄▄▄▃▃▃▃▂▂▂▂▂▂▁▁▁
wandb:               global_step ▁▁▁▁▁▂▂▃▃▃▃▃▃▄▄▄▄▄▄▄▄▅▅▅▆▆▆▆▆▆▆▇▇▇▇█████
wandb:          losses/approx_kl ▆▆▇▇█▆▇▇█▅▇▇▄▇▇▄▆▆▄▇▅▇▆▆▄▃▅▂▃▂▂▃▂▂▂▁▁▁▁▁
wandb:           losses/clipfrac ▅▇▅▄▅█▄▃▄▃▄▅▄▄▄▂▃▅▂▃▄▄▄▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:            losses/entropy ▁▁▂▂▃▃▃▃▄▅▅▅▅▅▅▅▅▅▅▆▆▆▆▆▆▆▇▇▇▇▇▇▇███████
wandb: losses/explained_variance ▂▁▄▅▄▄▄▃▃▅▄▄▆▅▃▆▆▆▃▆▇▆▇▇▆▆▇▄▅▆▇▅▆▇▆▆█▇█▆
wandb:      losses/old_approx_kl ▄▃▄▆▅▅▃▇▄▅▆▆▄▅█▃▅▃▄▂▄▇▂▃▂▂▄▃▄▁▂▃▃▂▂▁▁▁▁▁
wandb:        losses/policy_loss ▆▃▂▅▃▃▅▄▄▂▄▅▅▅▃▄▄▄▃▄▇▃█▆▁▅▅▃▆▇▅▃▅▇▅▇▅▆▆▇
