Iter 334/1373 took 3.07 seconds
Iter 335/1373 took 3.03 seconds
Iter 336/1373 took 3.04 seconds
Iter 337/1373 took 3.08 seconds
Iter 338/1373 took 3.07 seconds
Iter 339/1373 took 3.01 seconds
Iter 340/1373 took 3.09 seconds
Iter 341/1373 took 3.08 seconds
Iter 342/1373 took 3.07 seconds
Iter 343/1373 took 2.99 seconds
Iter 344/1373 took 2.99 seconds
Iter 345/1373 took 3.11 seconds
Iter 346/1373 took 3.00 seconds
Iter 347/1373 took 2.99 seconds
Iter 348/1373 took 3.01 seconds
Iter 349/1373 took 3.00 seconds
Iter 350/1373 took 3.09 seconds
Iter 351/1373 took 3.06 seconds
Iter 352/1373 took 2.95 seconds
Iter 353/1373 took 3.10 seconds
Iter 354/1373 took 3.02 seconds
Iter 355/1373 took 3.13 seconds
Iter 356/1373 took 2.99 seconds
Iter 357/1373 took 3.06 seconds
Iter 358/1373 took 3.08 seconds
Iter 359/1373 took 3.14 seconds
Iter 360/1373 took 3.10 seconds
Iter 361/1373 took 3.04 seconds
Iter 362/1373 took 3.03 seconds
Iter 363/1373 took 3.03 seconds
Iter 364/1373 took 3.01 seconds
Iter 365/1373 took 3.03 seconds
Iter 366/1373 took 2.96 seconds
Iter 367/1373 took 3.04 seconds
Iter 368/1373 took 2.99 seconds
Iter 369/1373 took 3.00 seconds
Iter 370/1373 took 2.97 seconds
Iter 371/1373 took 3.03 seconds
Iter 372/1373 took 3.18 seconds
Iter 373/1373 took 3.03 seconds
Iter 374/1373 took 3.16 seconds
Iter 375/1373 took 3.00 seconds
Iter 376/1373 took 3.03 seconds
Iter 377/1373 took 2.95 seconds
Iter 378/1373 took 3.10 seconds
Iter 379/1373 took 2.97 seconds
Iter 380/1373 took 2.94 seconds
Iter 381/1373 took 2.94 seconds
Iter 382/1373 took 2.98 seconds
Iter 383/1373 took 2.98 seconds
Iter 384/1373 took 3.20 seconds
Iter 385/1373 took 3.25 seconds
Iter 386/1373 took 3.08 seconds
Iter 387/1373 took 3.16 seconds
Iter 388/1373 took 3.16 seconds
Iter 389/1373 took 3.16 seconds
Iter 390/1373 took 3.15 seconds
Iter 391/1373 took 3.32 seconds
Iter 392/1373 took 3.24 seconds
Iter 393/1373 took 3.01 seconds
Iter 394/1373 took 2.95 seconds
Iter 395/1373 took 2.95 seconds
Iter 396/1373 took 2.97 seconds
Iter 397/1373 took 2.97 seconds
Iter 398/1373 took 2.93 seconds
Iter 399/1373 took 2.91 seconds
Iter 400/1373 took 2.94 seconds
Iter 401/1373 took 2.94 seconds
Iter 402/1373 took 3.03 seconds
Iter 403/1373 took 3.08 seconds
Iter 404/1373 took 3.02 seconds
Iter 405/1373 took 3.05 seconds
Iter 406/1373 took 3.12 seconds
Iter 407/1373 took 3.19 seconds
Iter 408/1373 took 3.17 seconds
Iter 409/1373 took 3.04 seconds
Iter 410/1373 took 3.08 seconds
Iter 411/1373 took 3.01 seconds
Iter 412/1373 took 3.04 seconds
Iter 413/1373 took 3.14 seconds
Iter 414/1373 took 3.04 seconds
Iter 415/1373 took 3.13 seconds
Iter 416/1373 took 3.00 seconds
Iter 417/1373 took 2.94 seconds
Iter 418/1373 took 2.98 seconds
Iter 419/1373 took 3.01 seconds
Iter 420/1373 took 2.98 seconds
Iter 421/1373 took 2.95 seconds
Iter 422/1373 took 2.92 seconds
Iter 423/1373 took 2.96 seconds
Iter 424/1373 took 2.95 seconds
Iter 425/1373 took 2.94 seconds
Iter 426/1373 took 2.94 seconds
Iter 427/1373 took 2.93 seconds
Iter 428/1373 took 2.94 seconds
Iter 429/1373 took 2.94 seconds
Iter 430/1373 took 2.92 seconds
Iter 431/1373 took 2.94 seconds
Iter 432/1373 took 2.97 seconds
Iter 433/1373 took 3.05 seconds
Iter 434/1373 took 3.03 seconds
Iter 435/1373 took 3.00 seconds
Iter 436/1373 took 3.05 seconds
Iter 437/1373 took 3.12 seconds
Iter 438/1373 took 3.07 seconds
Iter 439/1373 took 3.15 seconds
Iter 440/1373 took 3.11 seconds
Iter 441/1373 took 2.96 seconds
Iter 442/1373 took 3.23 seconds
Iter 443/1373 took 3.16 seconds
Iter 444/1373 took 3.18 seconds
Iter 445/1373 took 3.01 seconds
Iter 446/1373 took 3.17 seconds
Iter 447/1373 took 3.23 seconds
Iter 448/1373 took 3.36 seconds
Iter 449/1373 took 3.08 seconds
Iter 450/1373 took 3.05 seconds
Iter 451/1373 took 3.03 seconds
Iter 452/1373 took 3.00 seconds
Iter 453/1373 took 2.93 seconds
Iter 454/1373 took 2.93 seconds
Iter 455/1373 took 3.05 seconds
Iter 456/1373 took 3.05 seconds
Iter 457/1373 took 3.10 seconds
Iter 458/1373 took 3.16 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m_step_015000000.ckpt at global_step=15007744
Iter 459/1373 took 3.12 seconds
Iter 460/1373 took 3.03 seconds
Iter 461/1373 took 3.15 seconds
Iter 462/1373 took 3.09 seconds
Iter 463/1373 took 3.10 seconds
Iter 464/1373 took 3.10 seconds
Iter 465/1373 took 3.13 seconds
Iter 466/1373 took 3.08 seconds
Iter 467/1373 took 3.05 seconds
Iter 468/1373 took 3.06 seconds
Iter 469/1373 took 3.02 seconds
Iter 470/1373 took 3.01 seconds
Iter 471/1373 took 2.95 seconds
Iter 472/1373 took 2.97 seconds
Iter 473/1373 took 2.99 seconds
Iter 474/1373 took 2.93 seconds
Iter 475/1373 took 2.94 seconds
Iter 476/1373 took 2.92 seconds
Iter 477/1373 took 2.95 seconds
Iter 478/1373 took 2.99 seconds
Iter 479/1373 took 3.04 seconds
Iter 480/1373 took 2.97 seconds
Iter 481/1373 took 3.03 seconds
Iter 482/1373 took 3.13 seconds
Iter 483/1373 took 3.07 seconds
Iter 484/1373 took 3.02 seconds
Iter 485/1373 took 3.00 seconds
Iter 486/1373 took 2.95 seconds
Iter 487/1373 took 3.06 seconds
Iter 488/1373 took 3.06 seconds
Iter 489/1373 took 3.04 seconds
Iter 490/1373 took 3.05 seconds
Iter 491/1373 took 3.05 seconds
Iter 492/1373 took 3.04 seconds
Iter 493/1373 took 3.00 seconds
Iter 494/1373 took 3.00 seconds
Iter 495/1373 took 2.96 seconds
Iter 496/1373 took 2.94 seconds
Iter 497/1373 took 2.97 seconds
Iter 498/1373 took 3.01 seconds
Iter 499/1373 took 2.99 seconds
Iter 500/1373 took 2.96 seconds
Iter 501/1373 took 2.93 seconds
Iter 502/1373 took 2.98 seconds
Iter 503/1373 took 2.95 seconds
Iter 504/1373 took 3.00 seconds
Iter 505/1373 took 2.97 seconds
Iter 506/1373 took 2.93 seconds
Iter 507/1373 took 3.07 seconds
Iter 508/1373 took 3.05 seconds
Iter 509/1373 took 3.09 seconds
Iter 510/1373 took 3.23 seconds
Iter 511/1373 took 3.17 seconds
Iter 512/1373 took 3.08 seconds
Iter 513/1373 took 3.03 seconds
Iter 514/1373 took 3.01 seconds
Iter 515/1373 took 3.00 seconds
Iter 516/1373 took 3.13 seconds
Iter 517/1373 took 2.95 seconds
Iter 518/1373 took 2.99 seconds
Iter 519/1373 took 3.10 seconds
Iter 520/1373 took 3.05 seconds
Iter 521/1373 took 2.97 seconds
Iter 522/1373 took 3.02 seconds
Iter 523/1373 took 3.01 seconds
Iter 524/1373 took 3.01 seconds
Iter 525/1373 took 3.05 seconds
Iter 526/1373 took 3.05 seconds
Iter 527/1373 took 3.11 seconds
Iter 528/1373 took 3.02 seconds
Iter 529/1373 took 3.04 seconds
Iter 530/1373 took 2.98 seconds
Iter 531/1373 took 2.97 seconds
Iter 532/1373 took 2.95 seconds
Iter 533/1373 took 3.14 seconds
