Iter 603/1831 took 2.71 seconds
Iter 604/1831 took 2.78 seconds
Iter 605/1831 took 2.89 seconds
Iter 606/1831 took 2.97 seconds
Iter 607/1831 took 2.88 seconds
Iter 608/1831 took 2.88 seconds
Iter 609/1831 took 3.04 seconds
Iter 610/1831 took 2.92 seconds
Iter 611/1831 took 2.91 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m/level3_loop_026_v5_loop020_completion_backloaded_maturation_60m_step_020000000.ckpt at global_step=20021248
Iter 612/1831 took 2.89 seconds
